Name,Date,Time,More
FREE LEICESTER CONFERENCE: FLEEING TO ALLAH! with Shaykha Sudais (Makkah),2023-03-11,18:00,https://www.eventbrite.com/e/free-leicester-conference-fleeing-to-allah-with-shaykha-sudais-makkah-tickets-533722035977?aff=ebdssbdestsearch
FREE LEICESTER CONFERENCE: FLEEING TO ALLAH! with Shaykha Sudais (Makkah),2023-03-11,18:00,https://www.eventbrite.com/e/free-leicester-conference-fleeing-to-allah-with-shaykha-sudais-makkah-tickets-533722035977?aff=ebdssbdestsearch
The Science of Microdosing with Maria Balaet,2023-02-27,19:00,https://www.eventbrite.co.uk/e/the-science-of-microdosing-with-maria-balaet-tickets-470252115737?aff=ebdssbdestsearch
The Science of Microdosing with Maria Balaet,2023-02-27,19:00,https://www.eventbrite.co.uk/e/the-science-of-microdosing-with-maria-balaet-tickets-470252115737?aff=ebdssbdestsearch
LEICESTER: Living with the Names of Allah with Shaykh Ibraheem MENK! FREE,2023-03-03,18:30,https://www.eventbrite.co.uk/e/leicester-living-with-the-names-of-allah-with-shaykh-ibraheem-menk-free-tickets-543069955857?aff=ebdssbdestsearch
LEICESTER: Living with the Names of Allah with Shaykh Ibraheem MENK! FREE,2023-03-03,18:30,https://www.eventbrite.co.uk/e/leicester-living-with-the-names-of-allah-with-shaykh-ibraheem-menk-free-tickets-543069955857?aff=ebdssbdestsearch
"Discos for Grown ups 70s, 80s & 90s disco LEICESTER  Empire Banqueting Hall",2023-03-31,19:15,https://www.eventbrite.co.uk/e/discos-for-grown-ups-70s-80s-90s-disco-leicester-empire-banqueting-hall-tickets-479437830457?aff=ebdssbdestsearch
"Discos for Grown ups 70s, 80s & 90s disco LEICESTER  Empire Banqueting Hall",2023-03-31,19:15,https://www.eventbrite.co.uk/e/discos-for-grown-ups-70s-80s-90s-disco-leicester-empire-banqueting-hall-tickets-479437830457?aff=ebdssbdestsearch
Free Stand-Up Comedy Night in Leicester City Centre,2023-02-21,18:00,https://www.eventbrite.com/e/free-stand-up-comedy-night-in-leicester-city-centre-tickets-414324885887?aff=ebdssbdestsearch
Free Stand-Up Comedy Night in Leicester City Centre,2023-02-21,18:00,https://www.eventbrite.com/e/free-stand-up-comedy-night-in-leicester-city-centre-tickets-414324885887?aff=ebdssbdestsearch
NHS Career and Jobs Event,2023-03-11,10:00,https://www.eventbrite.co.uk/e/nhs-career-and-jobs-event-tickets-525633924217?aff=ebdssbdestsearch
NHS Career and Jobs Event,2023-03-11,10:00,https://www.eventbrite.co.uk/e/nhs-career-and-jobs-event-tickets-525633924217?aff=ebdssbdestsearch
Asian Wedding Exhibition Leicester,2023-03-05,11:00,https://www.eventbrite.co.uk/e/asian-wedding-exhibition-leicester-tickets-476265010467?aff=ebdssbdestsearch
Asian Wedding Exhibition Leicester,2023-03-05,11:00,https://www.eventbrite.co.uk/e/asian-wedding-exhibition-leicester-tickets-476265010467?aff=ebdssbdestsearch
Adult Open day and Jobs fair - Thursday 2 March 2023,2023-03-02,16:00,https://www.eventbrite.co.uk/e/adult-open-day-and-jobs-fair-thursday-2-march-2023-tickets-479285665327?aff=ebdssbdestsearch
Adult Open day and Jobs fair - Thursday 2 March 2023,2023-03-02,16:00,https://www.eventbrite.co.uk/e/adult-open-day-and-jobs-fair-thursday-2-march-2023-tickets-479285665327?aff=ebdssbdestsearch
Witch Festival - Beltane,2023-04-29,11:00,https://www.eventbrite.co.uk/e/witch-festival-beltane-tickets-470941688267?aff=ebdssbdestsearch
Witch Festival - Beltane,2023-04-29,11:00,https://www.eventbrite.co.uk/e/witch-festival-beltane-tickets-470941688267?aff=ebdssbdestsearch
'Welcome to the Jungle' LEICESTER //HIP HOP//RNB //AMAPIANO SPECIAL,2023-03-03,23:00,https://www.eventbrite.com/e/welcome-to-the-jungle-leicester-hip-hoprnb-amapiano-special-tickets-531093754717?aff=ebdssbdestsearch
'Welcome to the Jungle' LEICESTER //HIP HOP//RNB //AMAPIANO SPECIAL,2023-03-03,23:00,https://www.eventbrite.com/e/welcome-to-the-jungle-leicester-hip-hoprnb-amapiano-special-tickets-531093754717?aff=ebdssbdestsearch
Leicester Jobs Fair,2023-04-05,10:00,https://www.eventbrite.co.uk/e/leicester-jobs-fair-tickets-392346467847?aff=ebdssbdestsearch
Leicester Jobs Fair,2023-04-05,10:00,https://www.eventbrite.co.uk/e/leicester-jobs-fair-tickets-392346467847?aff=ebdssbdestsearch
"Mantra, Music, Meditation",2023-02-25,17:00,https://www.eventbrite.co.uk/e/mantra-music-meditation-tickets-431011937307?aff=ebdssbdestsearch
"Mantra, Music, Meditation",2023-02-25,17:00,https://www.eventbrite.co.uk/e/mantra-music-meditation-tickets-431011937307?aff=ebdssbdestsearch
Mecca Men The Tour - Leicester,2023-03-17,21:00,https://www.eventbrite.co.uk/e/mecca-men-the-tour-leicester-tickets-505945355177?aff=ebdssbdestsearch
Mecca Men The Tour - Leicester,2023-03-17,21:00,https://www.eventbrite.co.uk/e/mecca-men-the-tour-leicester-tickets-505945355177?aff=ebdssbdestsearch
Property Deal Network Leicester - Property Investor Meet up,2023-02-23,19:00,https://www.eventbrite.co.uk/e/property-deal-network-leicester-property-investor-meet-up-tickets-477640243827?aff=ebdssbdestsearch
Property Deal Network Leicester - Property Investor Meet up,2023-02-23,19:00,https://www.eventbrite.co.uk/e/property-deal-network-leicester-property-investor-meet-up-tickets-477640243827?aff=ebdssbdestsearch
Mission24 Connect Day - Mar 4th,2023-03-04,09:30,https://www.eventbrite.co.uk/e/mission24-connect-day-mar-4th-tickets-507458430827?aff=ebdssbdestsearch
Mission24 Connect Day - Mar 4th,2023-03-04,09:30,https://www.eventbrite.co.uk/e/mission24-connect-day-mar-4th-tickets-507458430827?aff=ebdssbdestsearch
Mini Music at Woodgate,2023-03-07,13:30,https://www.eventbrite.co.uk/e/mini-music-at-woodgate-tickets-315484601937?aff=ebdssbdestsearch
Mini Music at Woodgate,2023-03-07,13:30,https://www.eventbrite.co.uk/e/mini-music-at-woodgate-tickets-315484601937?aff=ebdssbdestsearch
"Messy Cheeky Monkeys , workshops for babies and children up to 5 years old",2023-02-28,10:00,https://www.eventbrite.co.uk/e/messy-cheeky-monkeys-workshops-for-babies-and-children-up-to-5-years-old-tickets-483968702417?aff=ebdssbdestsearch
"Messy Cheeky Monkeys , workshops for babies and children up to 5 years old",2023-02-28,10:00,https://www.eventbrite.co.uk/e/messy-cheeky-monkeys-workshops-for-babies-and-children-up-to-5-years-old-tickets-483968702417?aff=ebdssbdestsearch
Mick Herron in conversation with Kit de Waal,2023-03-22,18:30,https://www.eventbrite.co.uk/e/mick-herron-in-conversation-with-kit-de-waal-tickets-488087311287?aff=ebdssbdestsearch
Mick Herron in conversation with Kit de Waal,2023-03-22,18:30,https://www.eventbrite.co.uk/e/mick-herron-in-conversation-with-kit-de-waal-tickets-488087311287?aff=ebdssbdestsearch
Bass Face // LEICESTER // DNB . WAREHOUSE SPECIAL! LAST FREE TICKETS,2023-04-01,22:00,https://www.eventbrite.co.uk/e/bass-face-leicester-dnb-warehouse-special-last-free-tickets-tickets-462552505997?aff=ebdssbdestsearch
Bass Face // LEICESTER // DNB . WAREHOUSE SPECIAL! LAST FREE TICKETS,2023-04-01,22:00,https://www.eventbrite.co.uk/e/bass-face-leicester-dnb-warehouse-special-last-free-tickets-tickets-462552505997?aff=ebdssbdestsearch
An evening with Robbie  Fowler,2023-03-24,19:00,https://www.eventbrite.co.uk/e/an-evening-with-robbie-fowler-tickets-254030912297?aff=ebdssbdestsearch
An evening with Robbie  Fowler,2023-03-24,19:00,https://www.eventbrite.co.uk/e/an-evening-with-robbie-fowler-tickets-254030912297?aff=ebdssbdestsearch
