Name,Date,Time,More
The Science of Microdosing with Maria Balaet,27-02-2023,19:00,https://www.eventbrite.co.uk/e/the-science-of-microdosing-with-maria-balaet-tickets-470252115737?aff=ebdssbdestsearch
The Science of Microdosing with Maria Balaet,27-02-2023,19:00,https://www.eventbrite.co.uk/e/the-science-of-microdosing-with-maria-balaet-tickets-470252115737?aff=ebdssbdestsearch
Free Stand-Up Comedy Night in Leicester City Centre,07-02-2023,19:30,https://www.eventbrite.com/e/free-stand-up-comedy-night-in-leicester-city-centre-tickets-414324885887?aff=ebdssbdestsearch
Free Stand-Up Comedy Night in Leicester City Centre,07-02-2023,19:30,https://www.eventbrite.com/e/free-stand-up-comedy-night-in-leicester-city-centre-tickets-414324885887?aff=ebdssbdestsearch
"Discos for Grown ups 70s, 80s & 90s disco LEICESTER  Empire Banqueting Hall",31-03-2023,19:15,https://www.eventbrite.co.uk/e/discos-for-grown-ups-70s-80s-90s-disco-leicester-empire-banqueting-hall-tickets-479437830457?aff=ebdssbdestsearch
"Discos for Grown ups 70s, 80s & 90s disco LEICESTER  Empire Banqueting Hall",31-03-2023,19:15,https://www.eventbrite.co.uk/e/discos-for-grown-ups-70s-80s-90s-disco-leicester-empire-banqueting-hall-tickets-479437830457?aff=ebdssbdestsearch
Valentines Networking for Sikh & Hindu Singles,14-02-2023,19:30,https://www.eventbrite.co.uk/e/valentines-networking-for-sikh-hindu-singles-tickets-522655826647?aff=ebdssbdestsearch
Valentines Networking for Sikh & Hindu Singles,14-02-2023,19:30,https://www.eventbrite.co.uk/e/valentines-networking-for-sikh-hindu-singles-tickets-522655826647?aff=ebdssbdestsearch
Valentine's Family & Friends Dinner & Dance,11-02-2023,19:00,https://www.eventbrite.co.uk/e/valentines-family-friends-dinner-dance-tickets-478042386647?aff=ebdssbdestsearch
Valentine's Family & Friends Dinner & Dance,11-02-2023,19:00,https://www.eventbrite.co.uk/e/valentines-family-friends-dinner-dance-tickets-478042386647?aff=ebdssbdestsearch
Asian Wedding Exhibition Leicester,05-03-2023,11:00,https://www.eventbrite.co.uk/e/asian-wedding-exhibition-leicester-tickets-476265010467?aff=ebdssbdestsearch
Asian Wedding Exhibition Leicester,05-03-2023,11:00,https://www.eventbrite.co.uk/e/asian-wedding-exhibition-leicester-tickets-476265010467?aff=ebdssbdestsearch
Witch Festival - Beltane,29-04-2023,11:00,https://www.eventbrite.co.uk/e/witch-festival-beltane-tickets-470941688267?aff=ebdssbdestsearch
Witch Festival - Beltane,29-04-2023,11:00,https://www.eventbrite.co.uk/e/witch-festival-beltane-tickets-470941688267?aff=ebdssbdestsearch
